player_id,player_display_name,position,team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,match_key,Salary,production_score
00-0022942,Philip Rivers,QB,IND,58,92,544,4,3,5,-37,1,0,717,271,30,-11.195535567243342,-11.259385043583666,0,2.2844360941770017,2,-1,0,1,0,1,-1.1464567719958703,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,10,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,31.66,31.66,philiprivers,1255000.0,31.660000000000004
00-0023459,Aaron Rodgers,QB,PIT,344,531,3468,24,8,33,-216,5,2,3298,2192,150,0.22370676868076345,-13.855164226871583,1,21.558978510968316,21,61,1,1,0,5,-2.9512070736999165,0,1,1,-9,0,0,0,-9,0,0,-1.5339853016193998,0,0.0,0.0303030303030303,-0.0424528301886792,0.015737564322469998,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,21,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,227.92,228.92,aaronrodgers,13650000.0,230.92
00-0023853,Matt Prater,K,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,25,2,0,514.0,11.5,0,4,9,7,3,0,0,0,1,0,1,0,882,91,0,52,55,3,0,15.966666666666669,1,1,0,0,32,0.0,0.0,mattprater,1255000.0,0.0
00-0024243,Marcedes Lewis,TE,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,marcedeslewis,1255000.0,0.0
00-0025565,Nick Folk,K,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,1,0,687.0,14.666666666666668,0,5,9,7,7,0,0,0,0,0,1,0,1125,55,0,22,22,0,0,12.0,1,1,0,0,56,0.0,0.0,nickfolk,2875000.0,0.0
00-0026158,Joe Flacco,QB,CIN,158,256,1664,13,4,9,-64,1,1,1880,763,80,16.36573848836185,9.116606290286494,2,7.819951814382119,15,22,1,0,0,7,5.528515754173107,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,120.76,120.76,joeflacco,4250000.0,118.76
00-0026158,Joe Flacco,QB,CLE,93,160,815,2,6,9,-54,2,2,1167,402,35,-57.23786370578687,-19.31641869201124,0,2.822087201989224,6,13,0,0,0,2,-0.10468058311380823,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25.900000000000002,25.900000000000002,joeflacco,4250000.0,29.900000000000002
00-0026190,Calais Campbell,DE,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,21,2,20,9,55,0,6.5,50.0,16,0,0,2,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,calaiscampbell,5500000.0,0.0
00-0026300,Josh Johnson,QB,WAS,34,54,372,1,2,2,-14,0,0,313,213,21,3.8190098875594094,-4.293195677356268,0,4.12023461031277,12,55,1,2,1,6,-4.799324803636411,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24.380000000000003,24.380000000000003,joshjohnson,1422500.0,24.380000000000003
00-0026498,Matthew Stafford,QB,LA,454,716,5643,52,9,29,-197,5,2,6776,2218,283,173.11037278027888,20.100951831768946,0,17.663528544504388,34,16,0,3,1,6,-31.71560164171387,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,7,0,0,0,1,12,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,411.3200000000001,411.3200000000001,matthewstafford,42000000.0,415.32000000000005
