player_display_name,position,team,production_score,2026_opponent_def_rating,predictions_2026
Philip Rivers,QB,IND,31.660000000000004,16.58823529411765,31.85
Aaron Rodgers,QB,PIT,230.92,15.588235294117647,218.14
Marcedes Lewis,TE,DEN,0.0,14.735294117647058,-0.07
Joe Flacco,QB,CIN,118.76,16.705882352941178,119.46
Joe Flacco,QB,CLE,29.9,20.058823529411764,34.48
Josh Johnson,QB,WAS,24.380000000000003,17.676470588235293,25.58
Matthew Stafford,QB,LA,415.3200000000001,15.411764705882353,388.99
Andy Dalton,QB,CAR,11.52,15.352941176470589,11.13
Tyrod Taylor,QB,NYJ,61.459999999999994,15.117647058823529,58.36
Russell Wilson,QB,NYG,49.84,17.558823529411764,53.12
Kirk Cousins,QB,ATL,103.54,17.058823529411764,112.26
Adam Thielen,WR,MIN,14.9,18.470588235294116,15.91
Adam Thielen,WR,PIT,27.2,15.588235294117647,26.66
Zach Ertz,TE,WAS,124.4,17.676470588235293,130.56
Keenan Allen,WR,LAC,188.2,14.029411764705882,162.24
Travis Kelce,TE,KC,191.2,16.147058823529413,184.97
DeAndre Hopkins,WR,BAL,67.0,17.88235294117647,73.52
Geno Smith,QB,LV,173.9,13.205882352941176,140.8
Brandin Cooks,WR,BUF,29.2,15.323529411764707,26.37
Brandin Cooks,WR,NO,35.5,19.41176470588235,41.39
Teddy Bridgewater,QB,TB,2.88,17.61764705882353,2.81
Jimmy Garoppolo,QB,LA,-1.0,15.411764705882353,-0.39
Davante Adams,WR,LA,258.4,15.411764705882353,238.96
Mike Evans,WR,TB,84.8,17.61764705882353,92.71
Chris Manhertz,TE,NYG,1.7,17.558823529411764,1.69
Jameis Winston,QB,NYG,45.28,17.558823529411764,46.58
Stefon Diggs,WR,NE,241.3,15.647058823529411,228.8
Darren Waller,TE,MIA,88.7,15.529411764705882,82.69
Raheem Mostert,RB,LV,29.4,13.205882352941176,22.95
DeAndre Carter,WR,CLE,0.0,20.058823529411764,0.61
Ameer Abdullah,RB,IND,37.9,16.58823529411765,35.49
Tyler Lockett,WR,LV,50.1,13.205882352941176,44.28
Tyler Lockett,WR,TEN,17.0,18.176470588235293,18.39
Marcus Mariota,QB,WAS,125.5,17.676470588235293,134.52
Sterling Shepard,WR,TB,84.0,17.61764705882353,92.71
Austin Hooper,TE,NE,64.7,15.647058823529411,61.54
Chris Moore,WR,WAS,38.599999999999994,17.676470588235293,42.35
Brandon Allen,QB,TEN,0.8799999999999999,18.176470588235293,1.24
Kalif Raymond,WR,DET,60.8,18.0,65.92
Robbie Chosen,WR,WAS,10.3,17.676470588235293,11.9
Derrick Henry,RB,BAL,279.5,17.88235294117647,299.51
Demarcus Robinson,WR,SF,80.4,16.235294117647058,77.42
Carson Wentz,QB,MIN,68.34,18.470588235294116,75.81
Laquon Treadwell,WR,IND,0.0,16.58823529411765,0.14
Tyreek Hill,WR,MIA,53.5,15.529411764705882,50.56
Dak Prescott,QB,DAL,309.78000000000003,16.676470588235293,315.55
Hunter Henry,TE,NE,205.0,15.647058823529411,196.23
Jared Goff,QB,DET,303.06,18.0,330.16
Tyler Higbee,TE,LA,83.5,15.411764705882353,72.64
Jacoby Brissett,QB,ARI,233.44,15.470588235294118,219.17
Mo Alie-Cox,TE,IND,30.7,16.58823529411765,30.13
Johnny Mundt,TE,JAX,20.1,17.705882352941178,22.92
Christian McCaffrey,RB,SF,458.4,16.235294117647058,449.7
Curtis Samuel,WR,BUF,22.3,15.323529411764707,21.62
George Kittle,TE,SF,163.1,16.235294117647058,162.66
Aaron Jones,RB,MIN,120.7,18.470588235294116,135.33
Kendrick Bourne,WR,SF,92.1,16.235294117647058,92.12
Nick Mullens,QB,JAX,-0.04,17.705882352941178,0.24
Taysom Hill,TE,NO,41.78,19.41176470588235,45.97
Tim Patrick,WR,JAX,51.7,17.705882352941178,53.85
