Player,Team,Position,Salary
Dak Prescott,DAL,QB,60000000.0
Josh Allen,BUF,QB,55000000.0
Joe Burrow,CIN,QB,55000000.0
Trevor Lawrence,JAX,QB,55000000.0
Jordan Love,GB,QB,55000000.0
Tua Tagovailoa,MIA,QB,53100000.0
Jared Goff,DET,QB,53000000.0
Brock Purdy,SF,QB,53000000.0
Justin Herbert,LAC,QB,52500000.0
Lamar Jackson,BAL,QB,52000000.0
Jalen Hurts,PHI,QB,51000000.0
Micah Parsons,GB,ED/DE,46500000.0
Kyler Murray,ARI,QB,46100000.0
Deshaun Watson,CLE,QB,46000000.0
Kirk Cousins,ATL,QB,45000000.0
Aidan Hutchinson,DET,ED/DE,45000000.0
Patrick Mahomes,KC,QB,45000000.0
Matthew Stafford,LAR,QB,42000000.0
T.J. Watt,PIT,ED/OLB,41000000.0
Ja'Marr Chase,CIN,WR,40250000.0
Myles Garrett,CLE,ED/DE,40000000.0
Geno Smith,LV,QB,37500000.0
Danielle Hunter,HOU,ED/DE,35600000.0
Maxx Crosby,LV,ED/DE,35500000.0
Justin Jefferson,MIN,WR,35000000.0
Nick Bosa,SF,ED/DE,34000000.0
CeeDee Lamb,DAL,WR,34000000.0
Sam Darnold,SEA,QB,33500000.0
Baker Mayfield,TB,QB,33333333.0
D.K. Metcalf,PIT,WR,33000000.0
Garrett Wilson,NYJ,WR,32500000.0
Terry McLaurin,WAS,WR,32333333.0
A.J. Brown,PHI,WR,32000000.0
Chris Jones,KC,DL/DT,31750000.0
Ahmad Gardner,IND,CB,30100000.0
Amon-Ra St. Brown,DET,WR,30002500.0
Brandon Aiyuk,SF,WR,30000000.0
Tyreek Hill,MIA,WR,30000000.0
Derek Stingley Jr.,HOU,CB,30000000.0
Trey Hendrickson,CIN,ED/DE,29000000.0
Tee Higgins,CIN,WR,28750000.0
Rashawn Slater,LAC,LT,28500000.0
Joshua Hines-Allen,JAX,ED/DE,28250000.0
Jaylen Waddle,MIA,WR,28250000.0
Brian Burns,NYG,ED/OLB,28200000.0
Tristan Wirfs,TB,LT,28120000.0
Penei Sewell,DET,RT,28000000.0
Trent Williams,SF,LT/T,27553333.0
D.J. Moore,CHI,WR,27500000.0
Jameson Williams,DET,WR,26666667.0
Nik Bonitto,DEN,ED/OLB,26500000.0
Christian Darrisaw,MIN,LT,26000000.0
Milton Williams,NE,DL/DE,26000000.0
Zach Allen,DEN,DL/DE,25500000.0
Kyle Hamilton,BAL,S,25100000.0
Jaycee Horn,CAR,CB,25000000.0
Lane Johnson,PHI,RT/T,25000000.0
Bernhard Raimann,IND,LT,25000000.0
DeVonta Smith,PHI,WR,25000000.0
Laremy Tunsil,WAS,LT,25000000.0
Nnamdi Madubuike,BAL,DL/DE,24500000.0
Montez Sweat,CHI,ED/DE,24500000.0
Nico Collins,HOU,WR,24250000.0
Alim McNeill,DET,DL/DT,24250000.0
Derrick Brown,CAR,DL/DE,24000000.0
Rashan Gary,GB,ED/DE,24000000.0
Tyler Smith,DAL,G,24000000.0
Patrick Surtain II,DEN,CB,24000000.0
Quinnen Williams,DAL,DL/DT,24000000.0
Jeffery Simmons,TEN,DL/DT,23500000.0
Trey Smith,KC,G,23500000.0
Andrew Thomas,NYG,LT,23500000.0
Michael Pittman Jr.,IND,WR,23333333.0
DeForest Buckner,IND,DL/DT,23000000.0
Calvin Ridley,TEN,WR,23000000.0
Courtland Sutton,DEN,WR,23000000.0
Andrew Van Ginkel,MIN,ED/OLB,23000000.0
DaRon Bland,DAL,CB,22500000.0
Luke Goedeke,TB,RT,22500000.0
Jake Matthews,ATL,LT,22500000.0
Daron Payne,WAS,DL/DT,22500000.0
Davante Adams,LAR,WR,22000000.0
Chris Godwin,TB,WR,22000000.0
George Karlaftis,KC,ED/DE,22000000.0
Jordan Mailata,PHI,LT,22000000.0
Kolton Miller,LV,LT,22000000.0
Taylor Moton,CAR,RT,22000000.0
Zach Tom,GB,RT,22000000.0
Dexter Lawrence,NYG,DL/DT,21875000.0
Kerby Joseph,DET,S,21500000.0
Leonard Williams,SEA,DL/DE,21500000.0
Kenny Clark,DAL,DL/DT,21333333.0
Zach Sieler,MIA,DL/DT,21333333.0
Jalen Ramsey,PIT,CB,21175000.0
Stefon Diggs,NE,WR,21166667.0
Antoine Winfield Jr.,TB,S,21025000.0
Landon Dickerson,PHI,G,21000000.0
Fred Warner,SF,LB/ILB,21000000.0
Christian Barmore,NE,DL/DT,20750000.0
Saquon Barkley,PHI,RB,20600000.0
Garett Bolles,DEN,LT,20500000.0
Mike Evans,TB,WR,20500000.0
Chris Lindstrom,ATL,G,20500000.0
Dan Moore,TEN,LT,20500000.0
A.J. Terrell,ATL,CB,20250000.0
Denzel Ward,CLE,CB,20100000.0
Dion Dawkins,BUF,LT,20020000.0
Taylor Decker,DET,LT,20000000.0
Justin Fields,NYJ,QB,20000000.0
Robert Hunt,CAR,G,20000000.0
Jakobi Meyers,JAX,WR,20000000.0
Quenton Nelson,IND,G,20000000.0
Osa Odighizuwa,DAL,DL/DT,20000000.0
Greg Rousseau,BUF,ED/DE,20000000.0
Roquan Smith,BAL,LB/ILB,20000000.0
Ronnie Stanley,BAL,LT/T,20000000.0
Jawaan Taylor,KC,RT,20000000.0
Marshon Lattimore,WAS,CB,19520600.0
Marlon Humphrey,BAL,CB,19500000.0
Trevon Diggs,GB,CB,19400000.0
Aaron Banks,GB,G,19250000.0
Derwin James,LAC,S,19133000.0
Tyson Campbell,CLE,CB,19125000.0
George Kittle,SF,TE,19100000.0
L'Jarius Sneed,TEN,CB,19100000.0
Josh Sweat,ARI,ED/DE,19100000.0
Jonathan Greenard,MIN,ED/OLB,19000000.0
Jaylon Johnson,CHI,CB,19000000.0
Trey McBride,ARI,TE,19000000.0
Christian McCaffrey,SF,RB,19000000.0
Mike Onwenu,NE,G,19000000.0
Alaric Jackson,LAR,LT,18766667.0
Tytus Howard,HOU,RT/G,18666667.0
Samuel Cosmi,WAS,G,18500000.0
Brian O'Neill,MIN,RT,18500000.0
Minkah Fitzpatrick,MIA,S,18403059.0
Bradley Chubb,MIA,ED/DE,18163333.0
Paulson Adebo,NYG,CB,18000000.0
Budda Baker,ARI,S,18000000.0
Spencer Brown,BUF,RT,18000000.0
Carlton Davis,NE,CB,18000000.0
Tremaine Edmunds,CHI,LB/ILB,18000000.0
Creed Humphrey,KC,C,18000000.0
Christian Kirk,HOU,WR,18000000.0
Khalil Mack,LAC,ED/OLB,18000000.0
Quinn Meinerz,DEN,G,18000000.0
Byron Murphy,MIN,CB,18000000.0
Charvarius Ward,IND,CB,18000000.0
Deommodore Lenoir,SF,CB,17776800.0
Vita Vea,TB,DL/DT,17750000.0
Deebo Samuel,WAS,WR,17545529.0
Will Fries,MIN,G,17544000.0
Jonah Jackson,CHI,G,17500000.0
Jerry Jeudy,CLE,WR,17500000.0
Mike McGlinchey,DEN,RT,17500000.0
Braden Smith,IND,RT,17500000.0
Joe Thuney,CHI,G,17500000.0
Christian Benford,BUF,CB,17250000.0
Travis Kelce,KC,TE,17125000.0
Bryce Huff,SF,ED/DE,17033333.0
Jonathan Allen,MIN,DL/DT,17000000.0
